district,COUNTYFP,date ,doy,year,tminc,tmeanc,tmaxc,pr,rmean,vpd
Erie,29,5/31/21,151,2021,9.902519456,14.9999909,20.09746234,0,48.25634599,0.953656008
Erie,29,6/1/21,152,2021,9.614486676,16.48157229,23.3486579,0,57.24157557,0.983697677
Erie,29,6/2/21,153,2021,13.68868749,19.19143952,24.69419154,9.757651194,51.13752573,1.190953368
Erie,29,6/3/21,154,2021,14.70990738,17.79038566,20.87086394,1.203115111,71.37269886,0.561829238
Erie,29,6/4/21,155,2021,15.79878039,20.37407919,24.949378,0.004018154,63.25556508,0.926996953
Erie,29,6/5/21,156,2021,17.35523494,22.39245478,27.42967462,0,60.44441265,1.157150865
Erie,29,6/6/21,157,2021,17.66418603,23.58844051,29.51269499,0,63.11439728,1.235874097
Erie,29,6/7/21,158,2021,19.47712964,24.4617968,29.44646396,9.103701696,64.02732667,1.18879023
Erie,29,6/8/21,159,2021,18.64974058,22.73913497,26.82852935,1.095933994,75.26046544,0.70396644
Erie,29,6/9/21,160,2021,15.00921768,21.84200079,28.67478391,0.142947778,77.10431693,0.692813172
Erie,29,6/10/21,161,2021,14.21737875,21.15661718,28.09585561,0,65.05170985,1.11698708
Erie,29,6/11/21,162,2021,15.49954553,21.8488569,28.19816827,0.035820688,66.55079108,1.067699634
Erie,29,6/12/21,163,2021,15.08373564,20.89184104,26.69994643,0,63.2933553,1.043471077
Erie,29,6/13/21,164,2021,14.35590848,21.06911492,27.78232136,0.249074574,68.49146172,1.009023322
Erie,29,6/14/21,165,2021,13.18301261,17.37619765,21.56938268,9.320237407,75.81766123,0.506516104
Erie,29,6/15/21,166,2021,8.07756188,15.28648422,22.49540656,0,71.14281192,0.699894108
Erie,29,6/16/21,167,2021,6.398251144,13.47528906,20.55232698,0,61.71813557,0.770621323
Erie,29,6/17/21,168,2021,11.6729973,17.33552402,22.99805074,0,52.56020604,1.05424137
Erie,29,6/18/21,169,2021,17.55415195,21.63771101,25.72127007,0.650863682,59.21790718,1.073671595
Erie,29,6/19/21,170,2021,13.76292963,19.77556392,25.78819822,3.931316282,74.68444198,0.73106636
Erie,29,6/20/21,171,2021,16.53347187,22.1462553,27.75903873,16.25484319,72.49895909,0.866549297
Erie,29,6/21/21,172,2021,10.31255994,18.8267519,27.34094387,7.072315942,77.86677859,0.427049905
Erie,29,6/22/21,173,2021,8.575973625,12.71968337,16.86339311,0.043179328,71.43718475,0.44718868
Erie,29,6/23/21,174,2021,10.76724843,16.51844655,22.26964467,0,53.95509123,0.971393611
Erie,29,6/24/21,175,2021,15.50793117,21.3048329,27.10173464,0,51.38520017,1.36605085
Erie,29,6/25/21,176,2021,18.35962527,23.52385758,28.6880899,2.594118643,61.51750676,1.211861814
Erie,29,6/26/21,177,2021,19.7013657,24.48657004,29.27177438,0.348832218,68.32840259,1.042447476
Erie,29,6/27/21,178,2021,21.74008256,26.34834851,30.95661446,0.189211344,63.50535335,1.307951557
Erie,29,6/28/21,179,2021,20.56242984,25.68214058,30.80185133,0.070056036,68.42004898,1.143321038
Erie,29,6/29/21,180,2021,20.92650214,26.73348872,32.5404753,2.983135481,64.92577157,1.40243358
Erie,29,6/30/21,181,2021,17.67999063,22.45441636,27.22884208,2.544415804,75.22550432,0.74216761
Erie,29,7/1/21,182,2021,14.02091543,19.57360831,25.12630119,4.370330799,75.30234302,0.670661611
Erie,29,7/2/21,183,2021,12.69435656,16.80777536,20.92119417,26.20673654,74.82532271,0.502480971
Erie,29,7/3/21,184,2021,13.42657915,18.46706434,23.50754954,0.018906779,67.61857902,0.762718236
Erie,29,7/4/21,185,2021,14.78971474,20.72654672,26.6633787,0,62.93560471,1.045264347
Erie,29,7/5/21,186,2021,19.22509396,24.73285543,30.2406169,2.472442531,64.28340874,1.236176506
Erie,29,7/6/21,187,2021,19.33059375,23.89036238,28.45013101,4.955025372,78.56702675,0.683650453
Erie,29,7/7/21,188,2021,16.78556474,22.27762797,27.7696912,3.577831454,79.89343485,0.541091831
Erie,29,7/8/21,189,2021,17.13995031,20.28441913,23.42888796,22.22587486,81.63916034,0.407365583
Erie,29,7/9/21,190,2021,15.50112369,18.94362685,22.38613001,5.154532977,80.40135997,0.415293063
Erie,29,7/10/21,191,2021,14.42583308,19.1665819,23.90733072,0,73.51114374,0.637023201
Erie,29,7/11/21,192,2021,16.54877338,18.75714496,20.96551653,21.68733115,79.14641856,0.394352818
Erie,29,7/12/21,193,2021,17.37114433,21.10346493,24.83578554,0.215532333,74.4902961,0.635127273
Erie,29,7/13/21,194,2021,18.86543318,24.30373632,29.74203946,29.12921385,72.08388596,0.971837418
Erie,29,7/14/21,195,2021,16.9911203,21.7176191,26.44411791,1.817358484,73.97978483,0.733183497
Erie,29,7/15/21,196,2021,18.44856761,23.83534625,29.22212488,0.900753308,71.32853145,0.960416326
Erie,29,7/16/21,197,2021,16.81453088,20.13677135,23.45901181,30.58384103,81.39328041,0.410082429
Erie,29,7/17/21,198,2021,15.32943307,18.01946347,20.70949387,40.2352942,87.35030761,0.224770072
Erie,29,7/18/21,199,2021,16.51453116,21.02526047,25.53598978,0.363994071,68.70160708,0.820918172
Erie,29,7/19/21,200,2021,17.60917972,22.39200977,27.17483982,0,72.3541176,0.813297877
Erie,29,7/20/21,201,2021,16.1325411,21.83849833,27.54445555,8.681267646,77.80472049,0.653925071
Erie,29,7/21/21,202,2021,12.71440457,18.1426019,23.57079923,0,73.56990375,0.64879378
Erie,29,7/22/21,203,2021,13.89127992,18.94407568,23.99687143,0,61.2944899,0.919307203
Erie,29,7/23/21,204,2021,14.03229574,20.16133507,26.2903744,0,64.08387912,1.000849627
Erie,29,7/24/21,205,2021,18.25615329,22.34441663,26.43267997,4.659674899,65.79324551,0.940866765
Erie,29,7/25/21,206,2021,16.68779377,22.33320318,27.9786126,0,78.02032987,0.667863572
Erie,29,7/26/21,207,2021,16.52372816,22.70957865,28.89542914,0.191712074,66.77820217,1.095147183
Erie,29,7/27/21,208,2021,15.56290731,21.09156803,26.62022876,6.648778184,75.69562367,0.709714423
Erie,29,7/28/21,209,2021,15.57532332,20.62193863,25.66855393,0.012054461,69.95042177,0.807832076
Erie,29,7/29/21,210,2021,16.19805054,21.06856349,25.93907643,13.22876464,75.69867348,0.672276282
Erie,29,7/30/21,211,2021,10.04004311,15.48393081,20.92781851,0,77.71758729,0.448683408
Erie,29,7/31/21,212,2021,13.1989599,17.78946112,22.37996235,1.72482363,61.62272738,0.834262206
Erie,29,8/1/21,213,2021,12.77908352,17.25941913,21.73975475,12.37378551,75.89497929,0.513670827
Erie,29,8/2/21,214,2021,11.66822008,17.43783282,23.20744556,0,64.78250258,0.826910668
Erie,29,8/3/21,215,2021,12.50135292,18.74547378,24.98959463,0,64.86612739,0.920940558
Erie,29,8/4/21,216,2021,13.39353562,20.14665221,26.8997688,0,68.21385516,0.963707099
Erie,29,8/5/21,217,2021,15.98299506,22.24315407,28.50331308,0,65.17788332,1.119083682
Erie,29,8/6/21,218,2021,17.16477223,23.07592651,28.98708078,0.066454671,69.22733286,1.033818402
Erie,29,8/7/21,219,2021,16.29379211,22.49678993,28.69978775,0.891732142,73.87778667,0.829480248
Erie,29,8/8/21,220,2021,19.23309038,23.7855272,28.33796401,6.85386156925784E-04,70.408738,0.932391442
Erie,29,8/9/21,221,2021,21.26863661,26.63002673,31.99141685,0.168361094,64.70900793,1.369477011
Erie,29,8/10/21,222,2021,21.36568928,25.27439318,29.18309709,10.15552244,72.33968776,0.899897809
Erie,29,8/11/21,223,2021,21.34357369,25.85732546,30.37107723,4.064011041,73.87017744,0.923938188
Erie,29,8/12/21,224,2021,21.04789516,25.38144159,29.71498801,0.139701457,73.62650303,0.898019942
Erie,29,8/13/21,225,2021,15.9162154,21.88999122,27.86376705,21.66995733,81.19059292,0.339278337
Erie,29,8/14/21,226,2021,11.75167007,18.35307297,24.95447587,0,73.26713683,0.688336861
Erie,29,8/15/21,227,2021,12.60108161,18.44065519,24.28022876,0,62.75904509,0.920096479
Erie,29,8/16/21,228,2021,15.39193613,20.4341294,25.47632266,2.026208301,72.31815742,0.745180837
Erie,29,8/17/21,229,2021,20.85000768,23.59416764,26.3383276,6.455682995,69.70120869,0.838573811
Erie,29,8/18/21,230,2021,20.6199738,22.20688112,23.79378844,18.55550547,80.93338952,0.4342974
Erie,29,8/19/21,231,2021,18.92493834,23.34032381,27.75570929,0.001355336,72.75719441,0.825283184
Erie,29,8/20/21,232,2021,19.1551548,23.9697488,28.7843428,0,67.90461219,1.03484617
Erie,29,8/21/21,233,2021,19.1923702,24.11403539,29.03570058,0.548379928,68.83603468,1.022478039
Erie,29,8/22/21,234,2021,20.84340106,24.81241797,28.78143488,0.574730245,70.916402,0.929782958
Erie,29,8/23/21,235,2021,18.58543286,24.09894524,29.61245762,0,77.18457339,0.746768804
Erie,29,8/24/21,236,2021,19.9012573,24.68382161,29.46638592,0,66.56911432,1.111946868
Erie,29,8/25/21,237,2021,20.87184161,26.21431026,31.55677891,0.014451768,66.42083158,1.270305033
Erie,29,8/26/21,238,2021,19.83953689,25.0373793,30.2352217,0,76.26558561,0.845567526
Erie,29,8/27/21,239,2021,18.35309244,22.94363517,27.53417789,0.201392384,76.55280952,0.706087743
Erie,29,8/28/21,240,2021,20.2375648,25.3549805,30.47239619,0.044834134,65.82869415,1.211581177
Erie,29,8/29/21,241,2021,20.30436949,24.98205194,29.65973439,13.28048968,72.06471986,0.948512982
Erie,29,8/30/21,242,2021,16.34010442,21.8357252,27.33134597,0.170182617,79.63621977,0.485429985
Erie,29,8/31/21,243,2021,15.8570169,20.84772002,25.83842313,0.035164632,69.97791019,0.821845296
Erie,29,9/1/21,244,2021,10.84865767,16.16686084,21.485064,0,77.6224687,0.458842096
Erie,29,9/2/21,245,2021,11.86948615,16.4407191,21.01195204,0,60.40540527,0.804375513
Erie,29,9/3/21,246,2021,12.3241353,16.91550329,21.50687128,0,64.95343632,0.742878313
Erie,29,9/4/21,247,2021,14.90542574,20.07969543,25.25396513,4.996702728,62.16318011,1.00095629
Erie,29,9/5/21,248,2021,13.29275307,18.55971123,23.82666939,4.488776039,77.41724488,0.550306569
Erie,29,9/6/21,249,2021,11.13613031,17.3027504,23.46937048,2.489998617,72.83062408,0.694656923
Erie,29,9/7/21,250,2021,13.54419949,20.02067925,26.49715901,7.784995593,68.82501174,0.929393958
Erie,29,9/8/21,251,2021,12.8719985,18.60185658,24.33171467,9.893498063,76.38785757,0.583696147
Erie,29,9/9/21,252,2021,11.94192584,16.7686043,21.59528276,5.440562832,71.3767985,0.625129127
Erie,29,9/10/21,253,2021,12.31877021,16.69443414,21.07009807,0.004481252,66.92979492,0.685664934
Erie,29,9/11/21,254,2021,14.50362105,19.49936372,24.49510638,0,63.59692893,0.927267564
Erie,29,9/12/21,255,2021,15.37786266,19.11955469,22.86124672,16.5186212,83.66546818,0.315076333
Erie,29,9/13/21,256,2021,14.31214612,18.82564108,23.33913605,14.81012335,77.3477881,0.546998807
Erie,29,9/14/21,257,2021,16.31961464,22.14155942,27.9635042,8.229476256,75.33368366,0.777485992
Erie,29,9/15/21,258,2021,10.98151346,15.61618069,20.25084793,7.774325797,85.38089572,0.132790942
Erie,29,9/16/21,259,2021,12.39405331,18.06062282,23.72719232,0,71.5219882,0.727105939
